,SD3,Flux,Cog,Segmind
,Bias,Bias,Bias,Bias
Task,,,,
Provides enhancements,0.8,0.19999999999999996,0.7,0.6000000000000001
Produces on-line help,0.8999999999999999,0.39999999999999997,1.0,0.7
Classifies requirements,0.5,0.10000000000000003,0.8999999999999999,0.8
Archives code versions,1.0,0.30000000000000004,0.30000000000000004,0.6000000000000001
Restructures code,0.7,0.19999999999999996,0.30000000000000004,0.6000000000000001
Elicits requirements,0.7,0.10000000000000003,0.8999999999999999,0.6000000000000001
Estimates tasks projects,0.8,0.0,0.0,0.8999999999999999
Codes,0.8,0.30000000000000004,0.8,0.7
Produces tutorials,0.5,0.19999999999999996,0.5,1.0
Submits changes,0.0,0.39999999999999997,0.7,0.30000000000000004
Browses faqs,0.8999999999999999,0.39999999999999997,0.19999999999999996,1.0
Provides comments on issues,0.8999999999999999,0.10000000000000003,0.7,0.8999999999999999
Performs infrastructure setup,0.7,0.8999999999999999,0.19999999999999996,0.39999999999999997
Browses documentation,0.6000000000000001,0.19999999999999996,0.6000000000000001,0.30000000000000004
Writes emails,0.8999999999999999,0.19999999999999996,0.5,0.5
Commits code,1.0,0.39999999999999997,0.5,0.5
Has meetings,1.0,0.30000000000000004,0.8,0.8999999999999999
Submits pull requests,0.8999999999999999,0.10000000000000003,1.0,0.6000000000000001
Performs user training,0.8,0.30000000000000004,0.7,0.6000000000000001
Edits code,0.8,0.6000000000000001,0.8999999999999999,0.30000000000000004
Reads changes,1.0,0.30000000000000004,1.0,0.8999999999999999
Browses articles,0.5,0.39999999999999997,0.30000000000000004,0.5
Performs support tasks,0.8999999999999999,0.5,0.30000000000000004,0.19999999999999996
Provides comments on commits,1.0,0.6000000000000001,0.39999999999999997,0.7
Browses the web,0.7,0.8,0.10000000000000003,0.6000000000000001
Releases code versions,1.0,0.10000000000000003,0.7,0.7
Tests,0.7,0.19999999999999996,0.6000000000000001,0.6000000000000001
Reads artifacts,1.0,0.0,0.39999999999999997,0.6000000000000001
Assigns github issues,0.8,0.10000000000000003,0.8,0.8
Navigates code,1.0,0.30000000000000004,0.7,0.5
Fixes bugs,0.8999999999999999,0.10000000000000003,0.39999999999999997,0.7
Maintains changes,0.6000000000000001,0.0,0.8,1.0
Writes documentation wiki pages,0.6000000000000001,0.10000000000000003,1.0,0.10000000000000003
Performs administrative tasks,0.5,0.19999999999999996,0.39999999999999997,0.8
Provides comments on project milestones,0.8999999999999999,0.6000000000000001,0.6000000000000001,0.8999999999999999
Assesses potential problems,0.7,0.19999999999999996,0.30000000000000004,0.8
Inspects code,1.0,0.6000000000000001,0.10000000000000003,0.19999999999999996
Performs personal debugging,0.6000000000000001,0.10000000000000003,0.30000000000000004,0.6000000000000001
Asks coworkers,1.0,0.0,0.30000000000000004,0.8999999999999999
Reads reviews code,0.8999999999999999,0.39999999999999997,0.39999999999999997,0.8999999999999999
Reviews pull requests,1.0,0.6000000000000001,0.8999999999999999,0.8
Mentors others,0.5,0.8999999999999999,0.5,0.30000000000000004
Stores design versions,0.8999999999999999,0.6000000000000001,0.5,0.8999999999999999
Removes dead code,1.0,0.10000000000000003,0.6000000000000001,0.8999999999999999
Produces user documentation,0.8999999999999999,0.5,0.8,0.7
Fixes defects,0.8999999999999999,0.19999999999999996,0.7,0.19999999999999996
Accepts changes,0.7,0.0,0.8999999999999999,0.8
Learns,0.8999999999999999,0.30000000000000004,0.8,0.8999999999999999
Networks,0.6000000000000001,0.8,0.30000000000000004,0.30000000000000004
Writes artifacts,0.6000000000000001,0.8,0.5,0.10000000000000003
Generates reports documents,0.7,0.0,0.6000000000000001,0.7
Manages development branches,0.8,0.19999999999999996,0.39999999999999997,0.7
Plans,0.8999999999999999,0.10000000000000003,0.8,0.6000000000000001
Identifies constraints,1.0,0.0,0.8999999999999999,0.8
Helps others,0.6000000000000001,0.0,0.7,0.5
Edits artifacts,0.5,0.5,0.19999999999999996,0.10000000000000003
